objectid,filename,title,creator ,date,description,subject,location,source,identifier,type,format
001_2024orchid,001_2024orchid_medium.jpeg,Orchid,Cherie,2024-04-08,Purple orchid with multiple blooms on the kitchen windowsill,Random images from the creator's cellphone,"Black Mountain, North Carolina",,001_2024orchid,Image; StillImage,image/jpeg
002_2024eclipse,002_2024eclipse_medium.jpeg,Eclipse,Cherie,2024-04-08,"Partial solar eclipse as viewed from Black Mountain, North Carolina",Random images from the creator's cellphone,"Black Mountain, North Carolina",,002_2024eclipse,Image; StillImage,image/jpeg
003_2024giorgio,003_2024giorgio_medium.jpeg,Giorgio Washington,Cherie,2024-04-18,"Replica of Antonio Canova's sculpture of George Washington done in an Italian style, located in the North Carolina Museum of History",Random images from the creator's cellphone,"Raleigh, North Carolina",,003_2024giorgio,Image; StillImage,image/jpeg
004_2024bookstore,004_2024bookstore_medium.jpeg,Bookstore Vignette,Cherie,2024-04-19,"Vignette at Blackbird Books and Coffee in Raleigh, North Carolina",Random images from the creator's cellphone,"Raleigh, North Carolina",,004_2024bookstore,Image; StillImage,image/jpeg
005_2024bathead,005_2024bathead_medium.jpeg,Bat head ,Cherie,2024-04-13,Costume bat head from Street Creatures at the Asheville Maker Faire,Random images from the creator's cellphone,"Asheville, North Carolina",,005_2024bathead,Image; StillImage,image/jpeg
